WARNING: src/modules/memory/instruction_memory.v:13: $readmemb(data/inst.mem): Not enough words in the file for the requested range [0:63].
                   0 ** Start Simulation **
                   0 Instruction Memory 
VCD info: dumpfile sim.vcd opened for output.
                   0 [PC] pc :          x
                2305 [PC] pc :         88
                2315 [PC] pc :         92
                2325 [PC] pc :         96
                2335 [PC] pc :         88
                2345 [PC] pc :         92
                2355 [PC] pc :         96
                2365 [PC] pc :         88
                2375 [PC] pc :         92
                2385 [PC] pc :         96
                2395 [PC] pc :         88
                2405 [PC] pc :         92
                2415 [PC] pc :         96
                2425 [PC] pc :         88
                2435 [PC] pc :         92
                2445 [PC] pc :         96
                2455 [PC] pc :         88
                2465 [PC] pc :         92
                2475 [PC] pc :         96
                2485 [PC] pc :         88
                2495 [PC] pc :         92
                2505 [PC] pc :         96
                2515 [PC] pc :         88
                2525 [PC] pc :         92
                2535 [PC] pc :         96
                2545 [PC] pc :         88
                2555 [PC] pc :         92
                2565 [PC] pc :         96
                2575 [PC] pc :         88
                2585 [PC] pc :         92
                2595 [PC] pc :         96
                2605 [PC] pc :         88
                2615 [PC] pc :         92
                2625 [PC] pc :         96
                2635 [PC] pc :         88
                2645 [PC] pc :         92
                2655 [PC] pc :         96
                2665 [PC] pc :         88
                2675 [PC] pc :         92
                2685 [PC] pc :         96
                2695 [PC] pc :         88
                2705 [PC] pc :         92
                2715 [PC] pc :         96
                2725 [PC] pc :         88
                2735 [PC] pc :         92
                2745 [PC] pc :         96
                2755 [PC] pc :         88
                2765 [PC] pc :         92
                2775 [PC] pc :         96
                2785 [PC] pc :         88
                2795 [PC] pc :         92
                2805 [PC] pc :         96
                2815 [PC] pc :         88
                2825 [PC] pc :         92
                2835 [PC] pc :         96
                2845 [PC] pc :         88
                2855 [PC] pc :         92
                2865 [PC] pc :         96
                2875 [PC] pc :         88
                2885 [PC] pc :         92
                2895 [PC] pc :         96
                2905 [PC] pc :         88
                2915 [PC] pc :         92
                2925 [PC] pc :         96
                2935 [PC] pc :         88
                2945 [PC] pc :         92
                2955 [PC] pc :         96
                2965 [PC] pc :         88
                2975 [PC] pc :         92
                2985 [PC] pc :         96
                2995 [PC] pc :         88
                3005 [PC] pc :         92
                3015 [PC] pc :         96
                3025 [PC] pc :         88
                3035 [PC] pc :         92
                3045 [PC] pc :         96
                3055 [PC] pc :         88
                3065 [PC] pc :         92
                3075 [PC] pc :         96
                3085 [PC] pc :         88
                3095 [PC] pc :         92
                3105 [PC] pc :         96
                3115 [PC] pc :         88
                3125 [PC] pc :         92
                3135 [PC] pc :         96
                3145 [PC] pc :         88
                3155 [PC] pc :         92
                3165 [PC] pc :         96
                3175 [PC] pc :         88
                3185 [PC] pc :         92
                3195 [PC] pc :         96
                3205 [PC] pc :         88
                3215 [PC] pc :         92
                3225 [PC] pc :         96
                3235 [PC] pc :         88
                3245 [PC] pc :         92
                3255 [PC] pc :         96
                3265 [PC] pc :         88
                3275 [PC] pc :         92
                3285 [PC] pc :         96
                3295 [PC] pc :         88
                3305 [PC] pc :         92
                3315 [PC] pc :         96
                3325 [PC] pc :         88
                3335 [PC] pc :         92
                3345 [PC] pc :         96
                3355 [PC] pc :         88
                3365 [PC] pc :         92
                3375 [PC] pc :         96
                3385 [PC] pc :         88
                3395 [PC] pc :         92
                3405 [PC] pc :         96
                3415 [PC] pc :         88
                3425 [PC] pc :         92
                3435 [PC] pc :         96
                3445 [PC] pc :         88
                3455 [PC] pc :         92
                3465 [PC] pc :         96
                3475 [PC] pc :         88
                3485 [PC] pc :         92
                3495 [PC] pc :         96
                3505 [PC] pc :         88
                3515 [PC] pc :         92
                3525 [PC] pc :         96
                3535 [PC] pc :         88
                3545 [PC] pc :         92
                3555 [PC] pc :         96
                3565 [PC] pc :         88
                3575 [PC] pc :         92
                3585 [PC] pc :         96
                3595 [PC] pc :         88
                3605 [PC] pc :         92
                3615 [PC] pc :         96
                3625 [PC] pc :         88
                3635 [PC] pc :         92
                3645 [PC] pc :         96
                3655 [PC] pc :         88
                3665 [PC] pc :         92
                3675 [PC] pc :         96
                3685 [PC] pc :         88
                3695 [PC] pc :         92
                3705 [PC] pc :         96
                3715 [PC] pc :         88
                3725 [PC] pc :         92
                3735 [PC] pc :         96
                3745 [PC] pc :         88
                3755 [PC] pc :         92
                3765 [PC] pc :         96
                3775 [PC] pc :         88
                3785 [PC] pc :         92
                3795 [PC] pc :         96
                3805 [PC] pc :         88
                3815 [PC] pc :         92
                3825 [PC] pc :         96
                3835 [PC] pc :         88
                3845 [PC] pc :         92
                3855 [PC] pc :         96
                3865 [PC] pc :         88
                3875 [PC] pc :         92
                3885 [PC] pc :         96
                3895 [PC] pc :         88
                3905 [PC] pc :         92
                3915 [PC] pc :         96
                3925 [PC] pc :         88
                3935 [PC] pc :         92
                3945 [PC] pc :         96
                3955 [PC] pc :         88
                3965 [PC] pc :         92
                3975 [PC] pc :         96
                3985 [PC] pc :         88
                3995 [PC] pc :         92
                4005 [PC] pc :         96
                4015 [PC] pc :         88
                4025 [PC] pc :         92
                4035 [PC] pc :         96
                4045 [PC] pc :         88
                4055 [PC] pc :         92
                4060 ** End Simulation **
                4060 REGISTER FILE
                4060 Reg[          0]:           0 (00000000000000000000000000000000)
                4060 Reg[          1]:           1 (00000000000000000000000000000001)
                4060 Reg[          2]:           2 (00000000000000000000000000000010)
                4060 Reg[          3]:           3 (00000000000000000000000000000011)
                4060 Reg[          4]:           4 (00000000000000000000000000000100)
                4060 Reg[          5]:           5 (00000000000000000000000000000101)
                4060 Reg[          6]:           6 (00000000000000000000000000000110)
                4060 Reg[          7]:           7 (00000000000000000000000000000111)
                4060 Reg[          8]:           8 (00000000000000000000000000001000)
                4060 Reg[          9]:           9 (00000000000000000000000000001001)
                4060 Reg[         10]:          10 (00000000000000000000000000001010)
                4060 Reg[         11]:          11 (00000000000000000000000000001011)
                4060 Reg[         12]:          12 (00000000000000000000000000001100)
                4060 Reg[         13]:          13 (00000000000000000000000000001101)
                4060 Reg[         14]:          14 (00000000000000000000000000001110)
                4060 Reg[         15]:          15 (00000000000000000000000000001111)
                4060 Reg[         16]:           9 (00000000000000000000000000001001)
                4060 Reg[         17]:           4 (00000000000000000000000000000100)
                4060 Reg[         18]:          15 (00000000000000000000000000001111)
                4060 Reg[         19]:           1 (00000000000000000000000000000001)
                4060 Reg[         20]:          16 (00000000000000000000000000010000)
                4060 Reg[         21]:          15 (00000000000000000000000000001111)
                4060 Reg[         22]:           3 (00000000000000000000000000000011)
                4060 Reg[         23]:           3 (00000000000000000000000000000011)
                4060 Reg[         24]:          15 (00000000000000000000000000001111)
                4060 Reg[         25]:           0 (00000000000000000000000000000000)
                4060 Reg[         26]:           3 (00000000000000000000000000000011)
                4060 Reg[         27]:           8 (00000000000000000000000000001000)
                4060 Reg[         28]:           0 (00000000000000000000000000000000)
                4060 Reg[         29]:           0 (00000000000000000000000000000000)
                4060 Reg[         30]:           0 (00000000000000000000000000000000)
